college_name,location,best_suit_for,fees,placement,type
National Law University - [NLU],"New Delhi, Delhi NCR",M.Phil/Ph.D in Arts,"₹ 1,95,000","₹ 14,00,000",Government
"O.P. Jindal Global University, Jindal Global Law School - [JGLS]","Sonepat, Haryana",BA/BBA LLB,"₹ 7,00,000",,Private
Lady Hardinge Medical College - [LHMC],"New Delhi, Delhi NCR",MBBS,"₹ 1,655",,Government
Netaji Subhas University of Technology - [NSUT],"New Delhi, Delhi NCR",BE/B.Tech,"₹ 2,50,000","₹ 65,00,000",Government
DMS - Department of Management Studies IIT,"New Delhi, Delhi NCR",M.Phil/Ph.D in Management,"₹ 43,150","₹ 41,13,000",Government
Amity School of Hospitality,"Noida, Uttar Pradesh",M.Phil/Ph.D in Hotel Management,"₹ 1,70,000","₹ 6,00,000",Private
College of Vocational Studies - [CVS],"New Delhi, Delhi NCR",Bachelors in Vocational Courses,"₹ 18,800","₹ 23,05,000",Government
Delhi Technological University - [DTU],"New Delhi, Delhi NCR",BE/B.Tech,"₹ 2,47,700","₹ 85,30,000",Government
IIM Rohtak Indian Institute of Management,"Rohtak, Haryana",BBA/BMS,"₹ 6,76,045","₹ 36,00,000",Government
Dyal Singh College - [DSC],"New Delhi, Delhi NCR",BA,"₹ 14,705","₹ 23,50,000",Government
Indraprastha Institute of Information Technology - [IIITD],"New Delhi, Delhi NCR",BE/B.Tech,"₹ 4,62,000","₹ 49,00,000",Government
Aryabhatta College,"New Delhi, Delhi NCR",BA,"₹ 19,320","₹ 12,00,000",Government
Dr. Baba Saheb Ambedkar Medical College & Hospital - [BSAMCH],"New Delhi, Delhi NCR",MBBS,"₹ 1,11,000",,Government
Lloyd Law College,"Greater Noida, Uttar Pradesh",BA/BBA LLB,"₹ 9,00,000",,Private
Masters' Union,"Gurgaon, Haryana",MBA/PGDM,"₹ 34,00,384","₹ 61,80,000",Private
IMT - Institute of Management Technology,"Ghaziabad, Uttar Pradesh",PG Diploma in Management,"₹ 30,42,976","₹ 41,55,000",Private
Shaheed Bhagat Singh Evening College,"New Delhi, Delhi NCR",BA,"₹ 16,575",,Government
Guru Gobind Singh Indraprastha University - [GGSIPU],"New Delhi, Delhi NCR",BE/B.Tech,"₹ 1,89,500","₹ 45,00,000",Government
Army College of Medical Science - [ACMS],"New Delhi, Delhi NCR",MBBS,"₹ 5,03,830",,Private
National Institute of Technology - [NIT],"New Delhi, Delhi NCR",BE/B.Tech,"₹ 1,61,600","₹ 58,50,000",Government
NDMC Medical College,"New Delhi, Delhi NCR",MBBS,"₹ 2,25,000",,Government
